,calls,minutes,messages,mb_used,is_ultra
0,90.0,562.8299999999998,25.0,20737.15,1
1,63.0,412.88999999999993,23.0,13945.790000000005,0
2,54.0,395.2000000000001,73.0,18425.77,0
3,57.0,478.31000000000006,98.0,30343.76,1
4,81.0,516.5600000000001,2.0,19457.419999999995,1
5,56.0,433.0699999999999,16.0,16702.360000000004,0
6,78.0,551.49,33.0,7901.999999999999,0
7,69.0,535.1700000000002,70.0,19913.490000000005,0
8,35.0,248.36,77.0,21368.519999999997,0
9,84.0,550.7500000000001,9.0,26712.889999999992,0
10,69.0,564.01,26.0,15656.78,0
11,92.0,628.4700000000001,72.0,16839.519999999997,0
12,25.0,172.07999999999998,30.0,7023.2,0
13,73.0,560.06,42.0,24364.87,0
14,105.0,876.9699999999998,104.0,15935.21,0
15,118.0,866.8700000000005,129.0,27549.18,1
16,39.0,225.97,19.0,13950.920000000002,0
17,97.0,705.5999999999999,47.0,14407.850000000002,1
18,16.0,107.8,0.0,13907.090000000002,0
19,77.0,519.2800000000001,11.0,11189.950000000004,0
20,97.0,686.8499999999999,3.0,21722.120000000003,0
21,65.0,488.0799999999998,12.0,25301.119999999995,0
22,76.0,484.2700000000001,49.0,10474.86,0
23,42.0,281.39000000000004,0.0,21421.28,1
24,76.0,551.5799999999999,72.0,15975.989999999996,0
25,63.0,499.42,17.0,9599.78,0
26,54.0,447.86000000000007,26.0,15890.65,0
27,120.0,814.8500000000004,0.0,20427.000000000004,1
28,85.0,608.89,84.0,30357.439999999995,1
29,77.0,510.00000000000006,19.0,11907.139999999998,0
30,38.0,237.78,5.0,4905.5,0
31,57.0,558.06,40.0,12270.329999999998,0
32,71.0,533.63,21.0,7455.940000000002,1
33,59.0,448.00999999999993,0.0,19685.02,1
34,27.0,148.88999999999996,45.0,6976.25,1
35,68.0,465.6600000000002,40.0,14477.3,0
36,49.0,323.15,11.0,22846.550000000003,0
37,9.0,77.10000000000001,1.0,1810.5,0
38,5.0,40.85,1.0,0.01,0
39,43.0,303.5100000000001,37.0,15063.409999999996,0
